name,specialization,experience,rating,location
Dr. Sarah Johnson,Cardiology,15,4.8,New York
Dr. Michael Chen,Endocrinology,12,4.7,Los Angeles
Dr. Emily Davis,Neurology,18,4.9,Chicago
Dr. Robert Wilson,Orthopedics,20,4.6,Houston
Dr. Lisa Brown,Psychiatry,14,4.8,Phoenix
Dr. James Miller,Pulmonology,16,4.7,Philadelphia
Dr. Maria Garcia,Cardiology,13,4.9,San Antonio
Dr. David Lee,Endocrinology,17,4.6,San Diego
Dr. Jennifer Taylor,Neurology,19,4.8,Dallas
Dr. Christopher Anderson,Orthopedics,11,4.7,San Jose
